Experimental,,,Simulation from paper,
Exp Distance from inner bank,Exp Evolution,,Sim Distance from inner bank,Sim Evolution
0.099616566,0.811124694,,-0.000655856,0.822127139
0.152223985,0.741442543,,0.08117087,0.701100244
0.19980624,0.651589242,,0.149682288,0.679095355
0.299904993,0.328850856,,0.230684597,0.578239609
0.398423357,0.169315403,,0.368423562,0.319682152
0.499404758,-0.069070905,,0.44856059,0.165647922
0.599661856,-0.107579462,,0.510333649,0.048288509
0.699840293,-0.287286064,,0.565426579,-0.0599022
0.799259693,-0.329462103,,0.670593403,-0.285452323
0.851007962,-0.441320293,,0.718999053,-0.397310513
0.899399309,-0.578850856,,0.764064128,-0.505501222
,,,0.792439607,-0.571515892
,,,0.829159374,-0.659535452
,,,0.849192609,-0.699877751
,,,0.857540982,-0.714547677
,,,0.872552118,-0.769559902
,,,0.899227684,-0.886919315
,,,0.915912171,-0.938264059
,,,0.930933522,-0.974938875
,,,0.935937234,-0.993276284
