x,bathymetry
0,-6.51E-05
0.2,-0.000115067
0.4,-0.000165033
0.6,-0.000214991
0.8,-0.000264943
1,-0.000314889
1.2,-0.000364827
1.4,-0.000414758
1.6,-0.000464679
1.8,-0.000514589
2,-0.000564484
2.2,-0.000614362
2.4,-0.000664219
2.6,-0.000714051
2.8,-0.000763853
3,-0.000813621
3.2,-0.00086335
3.4,-0.000913035
3.6,-0.000962673
3.8,-0.001012261
4,-0.001061797
4.2,-0.001111282
4.4,-0.001160719
4.6,-0.001210114
4.8,-0.001259476
5,-0.001308819
5.2,-0.001358166
5.4,-0.001407551
5.6,-0.001457034
5.8,-0.00150671
6,-0.001556742
6.2,-0.001607395
6.4,-0.001659099
6.6,-0.001712551
6.8,-0.001768862
7,-0.00182978
7.2,-0.001898031
7.4,-0.001977827
7.6,-0.002075643
7.8,-0.002201377
8,-0.002370122
8.2,-0.002604836
8.4,-0.002940402
8.6,-0.003429771
8.8,-0.004153201
9,-0.005231702
9.2,-0.006845151
9.4,-0.009251782
9.6,-0.01279458
9.8,-0.017857006
10,-0.024709269
10.2,-0.033235311
10.4,-0.042728698
10.6,-0.052089958
10.8,-0.060369749
11,-0.067096442
11.2,-0.072187389
11.4,-0.075758296
11.6,-0.078011584
11.8,-0.079178326
12,-0.079483424
12.2,-0.07912687
12.4,-0.078276202
12.6,-0.077065672
12.8,-0.07560011
13,-0.073971229
13.2,-0.072227271
13.4,-0.070418369
13.6,-0.068579106
13.8,-0.066734183
14,-0.06490189
14.2,-0.063095609
14.4,-0.06132543
14.6,-0.059599546
14.8,-0.057925752
15,-0.056313376
15.2,-0.054776122
15.4,-0.053336995
15.6,-0.052035199
15.8,-0.050951964
